model_name,instrument_type,entry_date,exit_date,entry_premium,exit_premium,multiplier,dollar_pnl,exit_reason,strike,dte,predicted_regime,brace_for_impact_score,leap_exposure_pct,overwrite_action,target_premium_mid,vix,vvix,geometry_stress_score,path_stress_score
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-21,2026-05-22,1.6058622878826725,0.0,100,160.58622878826725,expiration,745.0,1.0,STABLE_LOW_VOL_TREND,0.05299,1.0,conservative,1.2,16.760000228881836,96.44999694824219,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-22,2026-05-25,1.4411135492808853,0.0,100,144.11135492808853,expiration,747.0,1.0,MID_VOL_CHOP,0.161016,1.0,conservative,1.2,16.700000762939453,91.87999725341797,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-25,2026-05-26,1.4108054148588565,3.510980247742907,100,-210.01748328840506,underlying_touch,750.0,1.0,MID_VOL_CHOP,0.187786,1.0,conservative,1.2,16.59000015258789,91.16000366210938,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-26,2026-05-27,1.4823162821892026,0.0,100,148.23162821892026,expiration,755.0,1.0,STABLE_LOW_VOL_TREND,0.073005,1.0,conservative,1.2,17.010000228881836,89.55000305175781,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-27,2026-05-28,1.6277696761633251,3.2932947097800707,100,-166.55250336167455,underlying_touch,754.0,1.0,STABLE_LOW_VOL_TREND,0.063986,1.0,conservative,1.2,16.290000915527344,87.52999877929688,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-28,2026-05-29,1.5939460719589817,0.0,100,159.39460719589817,expiration,758.0,1.0,STABLE_LOW_VOL_TREND,0.056731,1.0,conservative,1.2,15.739999771118164,86.02999877929688,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-29,2026-06-01,1.4906441652813385,0.0,100,149.06441652813385,expiration,760.0,1.0,STABLE_LOW_VOL_TREND,0.058794,1.0,conservative,1.2,15.319999694824219,86.05999755859375,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-06-01,2026-06-02,1.64206678992511,0.0,100,164.206678992511,expiration,762.0,1.0,STABLE_LOW_VOL_TREND,0.077067,1.0,conservative,1.2,16.049999237060547,91.5999984741211,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-06-02,2026-06-03,1.6071740443171905,0.0,100,160.71740443171905,expiration,763.0,1.0,STABLE_LOW_VOL_TREND,0.043758,1.0,conservative,1.2,15.770000457763672,90.52999877929688,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-06-03,2026-06-04,1.5331172847801326,0.0,100,153.31172847801326,expiration,758.0,1.0,STABLE_LOW_VOL_TREND,0.048701,1.0,conservative,1.2,16.059999465942383,89.80000305175781,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-06-04,2026-06-05,1.387304179135299,0.036103711305535136,100,135.12004678297637,profit_exit,761.0,1.0,STABLE_LOW_VOL_TREND,0.044368,1.0,conservative,1.2,15.399999618530273,85.75,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-06-05,2026-06-08,1.8531933724531768,0.0,100,185.31933724531768,expiration,743.0,1.0,VOL_EXPANSION_TRANSITION,0.563874,0.5,aggressive,1.8,21.510000228881836,102.04000091552734,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-06-08,2026-06-09,1.6395821334124037,0.0,100,163.95821334124037,expiration,744.0,1.0,VOL_EXPANSION_TRANSITION,0.588515,0.5,aggressive,1.5,18.920000076293945,92.4000015258789,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-06-09,2026-06-10,1.733579602788467,0.23117980030971808,100,150.23998024787488,profit_exit,742.0,1.0,VOL_EXPANSION_TRANSITION,0.644613,0.5,aggressive,1.5,19.8700008392334,95.80999755859375,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-06-10,2026-06-11,1.8738524548613213,7.936179782089425,100,-606.2327327228104,underlying_touch,731.0,1.0,VOL_EXPANSION_TRANSITION,0.652757,0.5,aggressive,1.8,22.219999313354492,108.16000366210938,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-06-11,2026-06-12,1.8833463929327081,0.0,100,188.3346392932708,expiration,742.0,1.0,VOL_EXPANSION_TRANSITION,0.703247,0.5,aggressive,1.5,19.440000534057617,100.62999725341797,0.0,0.0
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-02,2026-03-03,1.6269490927122376,0.0,100,162.69490927122376,expiration,692.0,1.0,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.2,19.860000610351562,104.1500015258789,0.0,0.0
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-03,2026-03-04,1.7604890272007196,0.0,100,176.04890272007196,expiration,689.0,1.0,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.5,21.440000534057617,110.88999938964844,0.0,0.0
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-04,2026-03-05,1.901372389963882,0.0,100,190.1372389963882,expiration,690.0,1.0,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.5,23.56999969482422,113.44000244140625,0.0,0.0
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-05,2026-03-06,1.797595254817196,4.210660765390344,100,-241.30655105731478,underlying_touch,683.0,1.0,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.5,21.149999618530273,116.0199966430664,0.0,0.0
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-06,2026-03-09,2.152792984934621,0.0,100,215.27929849346208,expiration,688.0,1.0,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.5,23.75,106.94000244140625,0.0,0.0
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-09,2026-03-10,2.44615935562922,0.38373405988805587,100,206.24252957411642,profit_exit,686.0,1.0,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.5,29.489999771118164,115.93000030517578,0.0,0.0
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-10,2026-03-11,2.1256750260897945,4.451248815291478,100,-232.5573789201684,underlying_touch,676.0,1.0,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.5,25.5,140.44000244140625,0.0,0.0
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-11,2026-03-12,2.0354703245685926,0.0,100,203.54703245685926,expiration,682.0,1.0,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.5,24.93000030517578,122.5999984741211,0.0,0.0
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-12,2026-03-13,2.206841930138097,0.0,100,220.6841930138097,expiration,680.0,1.0,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.5,24.229999542236328,125.36000061035156,0.0,0.0
