model_name,date,spy_close,vix,leap_open,leap_premium_estimate,leap_delta,leap_exposure_pct,leap_daily_pnl,leap_cumulative_pnl,short_call_open,short_call_strike,short_call_entry_premium,short_call_mtm_value,short_call_daily_pnl,short_call_cumulative_pnl,total_daily_pnl,total_cumulative_pnl,overwrite_daily_pnl,avoided_leap_drawdown_estimate,missed_leap_upside_estimate
heuristic_policy,2025-07-18,615.12,15.9399995803833,True,107.17,0.75,1.0,-25.28,15738.59,False,,,,0.0,-10060.66,-25.28,5677.92,0.0,0.0,0.0
heuristic_policy,2025-07-21,618.81,15.779999732971191,True,109.93,0.75,1.0,276.65,16015.24,False,,,,0.0,-10060.66,276.65,5954.57,0.0,0.0,0.0
heuristic_policy,2025-07-22,620.56,16.399999618530273,True,111.24,0.75,1.0,130.89,16146.13,False,,,,0.0,-10060.66,130.89,6085.46,0.0,0.0,0.0
heuristic_policy,2025-07-23,618.37,17.200000762939453,True,109.6,0.75,1.0,-163.6,15982.52,True,622.0,1.25,1.25,0.0,-10060.66,-163.6,5921.86,0.0,0.0,0.0
heuristic_policy,2025-07-24,619.55,17.3799991607666,True,110.27,0.75,0.75,66.37,16048.89,True,623.0,1.33,1.33,-41.33,-10101.99,25.04,5946.9,-41.33,0.0,29.5
heuristic_policy,2025-07-25,616.91,17.15999984741211,True,108.78,0.75,0.75,-148.92,15899.97,True,620.0,1.4,1.4,67.0,-10035.0,-81.92,5864.97,67.0,66.19,0.0
heuristic_policy,2025-07-28,618.97,16.520000457763672,True,109.94,0.75,0.75,116.01,16015.98,False,,,,-68.84,-10103.84,47.17,5912.15,-68.84,0.0,51.56
heuristic_policy,2025-07-29,622.76,16.40999984741211,True,112.78,0.75,1.0,284.09,16300.07,False,,,,0.0,-10103.84,284.09,6196.24,0.0,0.0,0.0
heuristic_policy,2025-07-30,622.3,16.649999618530273,True,112.44,0.75,1.0,-34.21,16265.87,False,,,,0.0,-10103.84,-34.21,6162.03,0.0,0.0,0.0
heuristic_policy,2025-07-31,623.48,16.5,True,113.32,0.75,1.0,88.5,16354.36,False,,,,0.0,-10103.84,88.5,6250.53,0.0,0.0,0.0
